Player,Pos,Tm,Pts,Wins,ClutchTS,ClutchPts,OPIPM,DPIPM,PIPM,ORPM,DRPM,RPM,OffRtg,DefRtg,NetRtg,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G,MP
Clint Capela,C,HOU,0.181395349,0.75,0.726392252,0.037783375,0.2,0.433962264,0.298701299,0,0.541401274,0,0.562962963,0.404761905,0.476470588,0.591954023,0.868131868,0.844155844,0.728682171,0.772727273,0.01010101,0,0.611111111,0.078512397,0.637254902,0.317073171,0.58490566,0.683168317,0.17699115,0.47761194,0.214285714,0.144578313,67,0.742734478
Damian Lillard,PG,POR,0.572093023,0.75,0.295399516,0.589420655,0.742857143,0.339622642,0.727272727,0.779411765,0.170382166,0.626749611,0.740740741,0.436507937,0.641176471,0.586206897,0.483516484,0.077922078,0.089147287,0.075757576,0.608585859,0.25,0.074074074,0.537190083,0.823529412,0.195121951,0.716981132,0.564356436,0.646017699,0.089552239,0.455357143,0.457831325,80,0.937252312
Andre Drummond,C,DET,0.218604651,0.321428571,0.811138015,0.25440806,0.371428571,0.679245283,0.623376623,0.138480392,0.593949045,0.227060653,0.414814815,0.420634921,0.370588235,0.568965517,0.296703297,1,1,1,0.007575758,0.75,0.722222222,0.268595041,0.274509804,0.975609756,0.490566038,0.435643564,0,0.76119403,0.205357143,0.192771084,78,0.864927345
Paul George,SF,OKC,0.627906977,0.607142857,0.481840194,0.614609572,0.571428571,0.660377358,0.792207792,0.640931373,0.699044586,0.967340591,0.444444444,0.76984127,0.647058824,0.563218391,0.456043956,0.149350649,0.42248062,0.297979798,0.28030303,0.9,0.074074074,0.545454545,0.568627451,0.780487805,0.688679245,0.544554455,0.486725664,0.343283582,0.4375,0.445783133,77,0.938243065
Kemba Walker,PG,CHO,0.581395349,0.25,0.445520581,0.801007557,0.485714286,0.018867925,0.272727273,0.584558824,0.055732484,0.267496112,0.42962963,0.150793651,0.182352941,0.454022989,0.302197802,0.032467532,0.124031008,0.065656566,0.573232323,0.4,0.074074074,0.628099174,0.382352941,0.048780488,0.235849057,0.143564356,0.495575221,0,0.25,0.265060241,81,0.931968296
Mike Conley,PG,MEM,0.409302326,0.035714286,0.450363196,0.662468514,0.385714286,0.339622642,0.415584416,0.568627451,0.178343949,0.367029549,0,0.642857143,0.205882353,0.454022989,0.379120879,0.032467532,0.034883721,0.01010101,0.679292929,0.5,0.055555556,0.454545455,0.431372549,0.146341463,0.320754717,0.356435644,0.486725664,0.044776119,0.258928571,0.192771084,70,0.77344782
Russell Westbrook,PG,OKC,0.418604651,0.607142857,0.256658596,0.481108312,0.385714286,0.433962264,0.467532468,0.389705882,0.292993631,0.251944012,0.474074074,0.492063492,0.470588235,0.436781609,0,0.181818182,0.755813953,0.525252525,1,0.75,0.074074074,0.611570248,0.039215686,0.780487805,0.188679245,0.148514851,0.283185841,0.805970149,0.526785714,0.469879518,72,0.856340819
Blake Griffin,PF,DET,0.530232558,0.321428571,0.331719128,0.468513854,0.3,0.169811321,0.207792208,0.400735294,0.331210191,0.303265941,0.281481481,0.341269841,0.2,0.431034483,0.445054945,0.168831169,0.441860465,0.318181818,0.515151515,0,0.055555556,0.574380165,0.37254902,0.268292683,0.320754717,0.267326733,0.442477876,0.28358209,0.366071429,0.325301205,75,0.865918098
Danilo Gallinari,SF,LAC,0.446511628,0.571428571,0.668280872,0.413098237,0.4,0.226415094,0.337662338,0.486519608,0.26910828,0.351477449,0.533333333,0.222222222,0.317647059,0.431034483,0.741758242,0.097402597,0.364341085,0.267676768,0.159090909,0.05,0.055555556,0.309917355,0.5,0.024390244,0.330188679,0.49009901,0.433628319,0.059701493,0.223214286,0.108433735,67,0.672060766
Bradley Beal,SG,WAS,0.51627907,0,0.406779661,0.450881612,0.514285714,0.075471698,0.337662338,0.477941176,0,0.077760498,0.422222222,0,0.064705882,0.41954023,0.445054945,0.11038961,0.112403101,0.095959596,0.439393939,0.45,0.185185185,0.5,0.450980392,0,0.283018868,0.138613861,0.407079646,0.074626866,0.205357143,0.253012048,82,1
