Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
31-Jan-20, LAL (36-11), DEN (34-15), LAC (33-15), UTA (32-16), HOU (30-18), DAL (29-19), OKC (30-20), MEM (24-25), POR (22-27), SAS (21-26), PHO (20-28), NOP (20-29), SAC (18-30), MIN (15-32), GSW (10-39),
1-Feb-20, LAL (37-11), DEN (34-15) T2, LAC (34-15) T2, UTA (32-17), HOU (30-18), DAL (30-19), OKC (30-20), MEM (24-25), POR (23-27), SAS (22-26), PHO (20-28), NOP (20-29), SAC (18-31), MIN (15-33), GSW (11-39),
2-Feb-20, LAL (37-11), LAC (34-15), DEN (34-16), UTA (32-17), HOU (31-18), DAL (30-19), OKC (30-20), MEM (24-25), POR (23-27), SAS (22-26), PHO (20-29), NOP (20-30), SAC (18-31), MIN (15-33), GSW (11-39),
3-Feb-20, LAL (37-11), LAC (35-15), DEN (34-16), UTA (32-17), HOU (31-18), DAL (31-19), OKC (30-20), MEM (25-25), POR (23-27), SAS (22-27), NOP (20-30) T11, PHO (20-30) T11, SAC (19-31), MIN (15-34), GSW (12-39),
4-Feb-20, LAL (38-11), LAC (35-15), DEN (35-16), UTA (32-17), HOU (32-18), DAL (31-19), OKC (30-20), MEM (25-25), POR (23-28), SAS (22-28), PHO (20-30), NOP (20-31), SAC (19-31), MIN (15-34), GSW (12-39),
5-Feb-20, LAL (38-11), LAC (36-15), DEN (36-16), HOU (32-18) T4, UTA (32-18) T4, DAL (31-20) T6, OKC (31-20) T6, MEM (26-25), POR (23-28), SAS (22-28), NOP (20-31) T11, PHO (20-31) T11, SAC (19-31), MIN (15-35), GSW (12-40),
6-Feb-20, LAL (38-12), LAC (36-15), DEN (36-16), HOU (33-18), UTA (32-18), DAL (31-20) T6, OKC (31-20) T6, MEM (26-25), POR (24-28), SAS (22-29), NOP (21-31), PHO (20-31), SAC (19-31), MIN (15-35), GSW (12-40),
7-Feb-20, LAL (38-12), LAC (36-15), DEN (36-16), UTA (33-18), HOU (33-19), OKC (32-20), DAL (31-21), MEM (26-26), POR (24-29), SAS (22-29), NOP (21-31) T11, PHO (21-31) T11, SAC (20-31), MIN (15-35), GSW (12-40),
8-Feb-20, LAL (39-12), DEN (37-16), LAC (36-16), UTA (33-18), HOU (33-19), OKC (32-20), DAL (32-21), MEM (26-26), POR (24-29), SAS (22-30), NOP (22-31), SAC (21-31), PHO (21-32), MIN (16-35), GSW (12-41),
9-Feb-20, LAL (39-12), DEN (37-16) T2, LAC (37-16) T2, UTA (34-18), HOU (33-20), DAL (32-21) T6, OKC (32-21) T6, MEM (27-26), POR (25-29), SAS (22-30), NOP (22-31), SAC (21-31), PHO (21-32), MIN (16-35), GSW (12-41),
10-Feb-20, LAL (40-12), DEN (38-16), LAC (37-16), UTA (35-18), HOU (33-20), OKC (32-21), DAL (32-22), MEM (27-26), POR (25-29), NOP (22-31) T10, SAS (22-31) T10, SAC (21-32), PHO (21-33), MIN (16-36), GSW (12-42),
11-Feb-20, LAL (40-12), DEN (38-16), LAC (37-17), UTA (35-18), HOU (34-20), DAL (32-22) T6, OKC (32-22) T6, MEM (27-26), POR (25-30), NOP (23-31) T10, SAS (23-31) T10, SAC (21-32), PHO (21-33), MIN (16-36), GSW (12-42),
12-Feb-20, LAL (41-12), DEN (38-17), LAC (37-17), UTA (36-18), HOU (34-20), DAL (33-22), OKC (32-22), MEM (28-26), POR (25-31), NOP (23-31) T10, SAS (23-31) T10, PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
13-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
14-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
15-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
16-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
17-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
18-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
19-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (34-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-26), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33), SAC (21-33), MIN (16-37), GSW (12-43),
20-Feb-20, LAL (41-12), DEN (38-17), LAC (37-18), UTA (36-18), HOU (35-20), DAL (33-22) T6, OKC (33-22) T6, MEM (28-27), POR (25-31), SAS (23-31), NOP (23-32), PHO (22-33) T12, SAC (22-33) T12, MIN (16-37), GSW (12-44),
21-Feb-20, LAL (42-12), DEN (38-18), LAC (37-18), UTA (36-19), HOU (35-20), DAL (34-22) T6, OKC (34-22) T6, MEM (28-28), POR (25-32), SAS (24-31), NOP (24-32), SAC (22-33), PHO (22-34), MIN (16-38), GSW (12-44),
22-Feb-20, LAL (42-12), DEN (38-18), LAC (37-19), HOU (36-20) T4, UTA (36-20) T4, OKC (34-22), DAL (34-23), MEM (28-28), POR (25-32), SAS (24-31), NOP (24-32), SAC (23-33), PHO (23-34), MIN (16-38), GSW (12-44),
23-Feb-20, LAL (43-12), DEN (39-18), LAC (37-19), HOU (36-20) T4, UTA (36-20) T4, OKC (35-22), DAL (34-23), MEM (28-28), POR (26-32), NOP (25-32), SAS (24-32), SAC (23-33), PHO (23-34), MIN (16-39), GSW (12-45),
24-Feb-20, LAL (43-12), DEN (39-18), LAC (38-19), HOU (37-20), UTA (36-21), OKC (35-22), DAL (35-23), MEM (28-29), POR (26-32), NOP (25-32), SAS (24-32), PHO (24-34), SAC (23-33), MIN (16-40), GSW (12-45),
25-Feb-20, LAL (44-12), DEN (40-18), LAC (38-19), HOU (37-20), UTA (36-21), OKC (36-22), DAL (35-23), MEM (28-29), POR (26-33), NOP (25-33), SAS (24-32), SAC (24-33), PHO (24-34), MIN (16-40), GSW (12-46),
26-Feb-20, LAL (44-12), DEN (40-18), LAC (39-19), HOU (38-20), OKC (36-22) T5, UTA (36-22) T5, DAL (36-23), MEM (28-30), POR (26-33), NOP (25-33), SAC (24-33) T11, SAS (24-33) T11, PHO (24-35), MIN (17-40), GSW (12-46),
27-Feb-20, LAL (45-12), DEN (40-18), LAC (39-19), HOU (38-20), OKC (37-22), UTA (36-22), DAL (36-23), MEM (28-30), POR (26-34), NOP (25-33), SAS (24-33), SAC (24-34), PHO (24-35), MIN (17-40), GSW (12-47),
28-Feb-20, LAL (45-12), DEN (40-19) T2, LAC (40-19) T2, HOU (38-20), UTA (37-22), OKC (37-23), DAL (36-24), MEM (28-31), NOP (26-33), POR (26-34), SAC (25-34), SAS (24-33), PHO (24-36), MIN (17-41), GSW (12-47),
29-Feb-20, LAL (45-13), DEN (40-19) T2, LAC (40-19) T2, HOU (39-20), UTA (37-22), OKC (37-23), DAL (36-24), MEM (29-31), NOP (26-33), SAS (25-33), POR (26-35), SAC (25-34), PHO (24-37), MIN (17-41), GSW (13-47),
1-Mar-20, LAL (46-13), DEN (41-19) T2, LAC (41-19) T2, HOU (39-20), UTA (37-22), OKC (37-23), DAL (37-24), MEM (29-31), NOP (26-34) T9, SAC (26-34) T9, SAS (25-33), POR (26-35), PHO (24-37), MIN (17-42), GSW (13-48),
2-Mar-20, LAL (46-13), DEN (41-19) T2, LAC (41-19) T2, HOU (39-21), UTA (38-22), OKC (37-23), DAL (37-25), MEM (30-31), POR (27-35), NOP (26-34) T10, SAC (26-34) T10, SAS (25-34), PHO (24-37), MIN (17-42), GSW (13-48),
3-Mar-20, LAL (47-13), LAC (42-19), DEN (41-20), HOU (39-21), UTA (38-22), OKC (37-24), DAL (37-25), MEM (30-31), SAC (27-34), POR (27-35), SAS (26-34), NOP (26-35), PHO (24-38), MIN (18-42), GSW (14-48),
4-Mar-20, LAL (47-13), LAC (42-19), DEN (41-20), HOU (39-21), UTA (39-22), OKC (38-24), DAL (38-25), MEM (31-31), POR (28-35), SAC (27-34), SAS (26-34), NOP (26-36), PHO (24-38), MIN (19-42), GSW (14-48),
5-Mar-20, LAL (47-13), LAC (43-19), DEN (42-20), HOU (39-22) T4, UTA (39-22) T4, OKC (38-24), DAL (38-25), MEM (31-31), POR (28-35), SAC (27-35), SAS (26-34), NOP (26-36), PHO (24-38), MIN (19-42), GSW (14-49),
6-Mar-20, LAL (48-13), LAC (43-19), DEN (42-20), UTA (40-22), HOU (39-22), OKC (39-24), DAL (39-25), MEM (31-32), POR (28-36), SAC (27-35), NOP (27-36), SAS (26-35), PHO (25-38), MIN (19-43), GSW (14-49),
7-Mar-20, LAL (48-13), LAC (43-19), DEN (42-21), UTA (41-22), HOU (39-23), OKC (39-24), DAL (39-25), MEM (32-32), SAC (28-35), POR (28-37), NOP (27-36), SAS (26-35), PHO (25-38), MIN (19-43), GSW (15-49),
8-Mar-20, LAL (49-13), LAC (43-20), DEN (42-21), UTA (41-22), OKC (40-24), HOU (39-24), DAL (39-26), MEM (32-32), NOP (28-36) T9, SAC (28-36) T9, POR (28-37), SAS (26-36), PHO (26-38), MIN (19-44), GSW (15-49),
9-Mar-20, LAL (49-13), LAC (43-20), DEN (43-21), UTA (41-23), OKC (40-24), HOU (39-24), DAL (39-26), MEM (32-32), NOP (28-36) T9, SAC (28-36) T9, POR (28-37), SAS (26-36), PHO (26-38), MIN (19-44), GSW (15-49),
10-Mar-20, LAL (49-14), LAC (44-20), DEN (43-21), UTA (41-23), HOU (40-24) T5, OKC (40-24) T5, DAL (39-27), MEM (32-33), POR (29-37), NOP (28-36) T10, SAC (28-36) T10, SAS (27-36), PHO (26-39), MIN (19-45), GSW (15-50),
11-Mar-20, LAL (49-14), LAC (44-20), DEN (43-22), UTA (41-23), HOU (40-24) T5, OKC (40-24) T5, DAL (40-27), MEM (32-33), POR (29-37), NOP (28-36) T10, SAC (28-36) T10, SAS (27-36), PHO (26-39), MIN (19-45), GSW (15-50),
