Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
21-Nov-19, LAL (12-2), DEN (10-3), HOU (11-4), LAC (10-5), DAL (9-5) T5, UTA (9-5) T5, MIN (8-7), PHO (7-7), SAC (6-7), NOP (6-9), MEM (5-9) T11, OKC (5-9) T11, SAS (5-10), POR (5-11), GSW (3-13),
22-Nov-19, LAL (13-2), DEN (11-3), HOU (11-5) T3, LAC (11-5) T3, DAL (10-5) T5, UTA (10-5) T5, MIN (8-7), PHO (7-7), SAC (6-8), NOP (6-9), MEM (5-9), OKC (5-10), POR (5-11) T13, SAS (5-11) T13, GSW (3-14),
23-Nov-19, LAL (14-2), DEN (11-3), HOU (11-5) T3, LAC (11-5) T3, UTA (11-5) T3, DAL (10-5), PHO (8-7), MIN (8-8), SAC (6-8), NOP (6-10), SAS (6-11), MEM (5-10) T12, OKC (5-10) T12, POR (5-12), GSW (3-14),
24-Nov-19, LAL (14-2), DEN (12-3), LAC (12-5), DAL (11-5) T4, UTA (11-5) T4, HOU (11-6), MIN (8-8) T7, PHO (8-8) T7, SAC (7-8), NOP (6-11) T10, SAS (6-11) T10, MEM (5-10) T12, OKC (5-10) T12, POR (5-12), GSW (3-14),
25-Nov-19, LAL (15-2), DEN (12-3), LAC (12-5), DAL (11-5), HOU (11-6) T5, UTA (11-6) T5, MIN (9-8), PHO (8-8), SAC (7-9), OKC (6-10), NOP (6-11), POR (6-12) T12, SAS (6-12) T12, MEM (5-11), GSW (3-15),
26-Nov-19, LAL (15-2), DEN (13-3), LAC (13-5), DAL (11-6) T4, HOU (11-6) T4, UTA (11-6) T4, MIN (9-8), PHO (8-8), SAC (7-9), OKC (6-10), NOP (6-11), POR (6-12) T12, SAS (6-12) T12, MEM (5-11), GSW (3-15),
27-Nov-19, LAL (16-2), DEN (13-3), LAC (14-5), HOU (12-6), DAL (11-6), UTA (11-7), MIN (10-8), PHO (8-9), SAC (7-10), POR (7-12), OKC (6-11), NOP (6-12), SAS (6-13), MEM (5-12), GSW (4-15),
28-Nov-19, LAL (16-2), DEN (13-3), LAC (14-5), HOU (12-6), DAL (11-6), UTA (11-7), MIN (10-8), PHO (8-9), SAC (7-10), POR (7-12), OKC (6-11), NOP (6-12), SAS (6-13), MEM (5-12), GSW (4-15),
29-Nov-19, LAL (17-2), DEN (13-3), LAC (14-6), DAL (12-6) T4, HOU (12-6) T4, UTA (12-7), MIN (10-8), PHO (8-10), SAC (7-10), POR (8-12), OKC (7-11), SAS (7-13), NOP (6-13), MEM (5-13), GSW (4-16),
30-Nov-19, LAL (17-2), DEN (13-4), LAC (14-6), HOU (13-6), DAL (12-6), UTA (12-7), MIN (10-8), PHO (8-10) T8, SAC (8-10) T8, POR (8-12), OKC (7-11), SAS (7-13), NOP (6-13), MEM (5-13), GSW (4-16),
